aarónico	 1. adj. Perteneciente o relativo a Aarón, personaje bíblico, hermano de Moisés. 
arestinado	 1. adj. Veter. Que padece arestín. 
arete	 1. m. Arillo de metal, casi siempre precioso, que como adorno llevan algunas mujeres atravesado en el lóbulo de cada una de las orejas. 
aretino	 1. adj. Natural de Arezzo. U. t. c. s. 2. adj. Perteneciente o relativo a esta ciudad de Italia. 
arévaco	 1. adj. Se dice de un pueblo prerromano que habitaba territorios correspondientes a parte de las actuales provincias de Soria y Segovia, o de los individuos pertenecientes a este pueblo. U. t. c. s. 2. adj. Perteneciente o relativo a los arévacos. 
arfada	 1. f. Mar. Acción de arfar. 
arfar	 1. intr. Mar. cabecear (‖ el buque). 
arfil	 1. m. desus. alfil1. U. en América. 
argadijo	 1. m. argadillo. 2. m. argamandijo. 
argadillo	 1. m. devanadera (‖ armazón para devanar madejas). 2. m. coloq. Persona bulliciosa, inquieta y entremetida. 3. m. rur. Ar. Cesto grande de mimbres. 4. m. ant. Armazón o fábrica del cuerpo humano. 
argado	 1. m. desus. Enredo, travesura, dislate. 
argalia	 1. f. algalia2. 
argallera	 1. f. Serrucho curvo para labrar canales en redondo, y especialmente para ruñar los cubos y toneles. 
argamandel	 1. m. p. us. andrajo (‖ pedazo o jirón de tela). 
argamandijo	 1. m. coloq. p. us. Conjunto de varias cosas menudas que sirven para algún arte u oficio o para otro fin. □ V. dueño del argamandijo señor del argamandijo 
argamasa	 1. f. Mortero hecho de cal, arena y agua, que se emplea en las obras de albañilería. 2. f. ant. Lugar público; p. ej., una alhóndiga. 
argamasar	 1. tr. Hacer argamasa. 2. tr. Trabar o unir con argamasa los materiales de construcción. 
argamasón	 1. m. Pedazo o conjunto de pedazos grandes de argamasa. 
argamula	 1. f. And. lengua de buey. 
argandeño	 1. adj. Natural de Arganda. U. t. c. s. 2. adj. Perteneciente o relativo a esta villa de la provincia de Madrid, en España. 
arganel	 1. m. Círculo pequeño de metal, parte del astrolabio. 
arganeo	 1. m. Mar. Argolla de hierro en el extremo superior de la caña del ancla. 
argavieso	 1. m. desus. turbión (‖ aguacero con viento fuerte). 
argaya	 1. f. desus. argaña (‖ conjunto de filamentos de la espiga). 
argayar	 1. intr. Desprenderse argayos1. 
argayo	 1. m. Desprendimiento de tierra y piedras por la ladera de un monte. argayo2. (Cf. fr. ant. hargant, de or. desc.). 1. m. Prenda de abrigo de paño burdo que los religiosos de Santo Domingo solían ponerse sobre el hábito. 
argel	 1. adj. Dicho de un caballo o de una yegua: Que solamente tiene blanco el pie derecho, de donde algunos entienden que es malo y que trae mala suerte a quien monta en él. U. t. c. s. 2. adj. Á. guar. Dicho de una persona o de una cosa: Que no tiene gracia ni inspira simpatía. U. t. c. s. 3. adj. Par. Dicho de un caballo: Mañoso y considerado de mala suerte. U. t. c. s. 
argelino	 1. adj. Natural de Argelia, país de África. U. t. c. s. 2. adj. Natural de Argel, su capital. U. t. c. s. 3. adj. Perteneciente o relativo a aquel país o a esta ciudad. 
argemone	 1. f. Planta anual de la familia de las Papaveráceas, de tallo ramoso, hojas dentadas y espinosas y semilla en cápsula ovoide. Se cultiva en Europa como planta de adorno y se emplea en medicina. 
argent	 1. m. desus. plata (‖ metal de color blanco). U. en Aragón. 
argentado	 1. adj. Bañado en plata. 2. adj. plateado (‖ de color semejante al de la plata). 3. f. Especie de afeite que usaban las mujeres. □ V. voz argentada zapato argentado 
argentador	 1. adj. Que argenta. U. t. c. s. 
argentar	 1. tr. platear (‖ dar o cubrir de plata algo). 2. tr. Guarnecer algo con plata. 3. tr. Dar brillo semejante al de la plata. 
argentario	 1. m. Gobernador de los monederos. 2. m. desus. platero (‖ artífice que labra la plata). 
argente	 1. tr. platear (‖ dar o cubrir de plata algo). 2. tr. Guarnecer algo con plata. 3. tr. Dar brillo semejante al de la plata. 
argénteo	 1. adj. De plata. 2. adj. Dado o bañado de plata. 3. adj. De brillo como la plata o semejante a ella en alguna de sus cualidades. 
argentería	 1. f. Bordadura brillante de plata u oro. 2. f. Ornato, pompa, especialmente de la expresión. 3. f. p. us. platería. 
argentero	 1. m. platero (‖ artífice que labra la plata). 
argentífero	 1. adj. Que contiene plata. Mineral argentífero. 
argentina	 1. f. V. argentino2. argentino1, na. 1. adj. Natural de la Argentina. U. t. c. s. 2. adj. Perteneciente o relativo a este país de América. 3. m. Antigua moneda de oro de la Argentina. argentino2, na. (Del lat. argentĭnus). 1. adj. argénteo. 2. adj. Que suena como la plata o de manera semejante. Timbre argentino Risa argentina 3. f. Planta perenne de la familia de las Rosáceas, con vástagos tomentosos de tres a cuatro decímetros de altura, hojas divididas en cinco gajos de forma de cuña, por encima verdes y por el envés con vello sedoso plateado, y flores amarillas en corimbo. □ V. voz argentina 
argentinismo	 1. m. Locución, giro o modo de hablar propio de los argentinos. 
argentino	 1. adj. Natural de la Argentina. U. t. c. s. 2. adj. Perteneciente o relativo a este país de América. 3. m. Antigua moneda de oro de la Argentina. argentino2, na. (Del lat. argentĭnus). 1. adj. argénteo. 2. adj. Que suena como la plata o de manera semejante. Timbre argentino Risa argentina 3. f. Planta perenne de la familia de las Rosáceas, con vástagos tomentosos de tres a cuatro decímetros de altura, hojas divididas en cinco gajos de forma de cuña, por encima verdes y por el envés con vello sedoso plateado, y flores amarillas en corimbo. □ V. voz argentina 
argento	 1. m. poét. plata (‖ metal de color blanco). ~ vivo. 1. m. mercurio. ~ vivo sublimado. 1. m. Quím. sublimado corrosivo. 
argentoso	 1. adj. Que tiene mezcla de plata. 
argentpel	 1. m. ant. Lámina de latón muy batida y con baño de plata. 
argila	 1. f. desus. arcilla. 
argilla	 1. f. desus. arcilla. 
argiloso	 1. adj. desus. arcilloso. 
argivo	 1. adj. Natural de Argos, ciudad de Grecia. U. t. c. s. 2. adj. Natural de la Argólida, provincia de Grecia. U. t. c. s. 3. adj. Perteneciente o relativo a aquella ciudad o a esta provincia. 4. adj. p. us. Natural de Grecia antigua. U. t. c. s. 5. adj. p. us. Perteneciente o relativo a Grecia antigua. 
argólico	 1. adj. p. us. argivo. 
argolla	 1. f. Aro grueso, generalmente de hierro, que, afirmado debidamente, sirve para amarre o de asidero. 2. f. Sujeción, cosa que sujeta a alguien a la voluntad de otra persona. 3. f. Juego cuyo principal instrumento es una argolla de hierro que, con una espiga o punta aguda que tiene, se clava en la tierra de modo que pueda moverse fácilmente alrededor, y por la cual se han de hacer pasar unas bolas de madera que se impelen con palas cóncavas. 4. f. Pena que consistía en exponer al reo a la vergüenza pública, sujeto por el cuello con una argolla a un poste. 5. f. Especie de gargantilla que usaban las mujeres por adorno. 6. f. Am. Anillo de matrimonio que es simplemente un aro. 7. f. C. Rica, Ec., Hond. y Perú. camarilla. 8. f. Cuba y Ven. Pendiente en forma de aro. 9. f. ant. Aro, manilla o brazalete que se llevaba como adorno. de ~. 1. loc. adj. coloq. Cuba. de cuidado. echar, o poner, a alguien una ~. 1. locs. verbs. coloqs. echar una ese. 
argollón	 1. m. aum. de argolla. 
argomal	 1. m. Terreno poblado de árgomas. 
argonauta	 1. m. Cada uno de los héroes griegos que, según la mitología, fueron a Colcos en la nave Argos a la conquista del vellocino de oro. 2. m. Molusco marino, cefalópodo, dibranquial, octópodo. La hembra, que es mucho mayor que el macho, deposita sus huevos en un receptáculo calcáreo segregado por ella, muy semejante a una concha por su aspecto, de paredes delgadas y blancas, y que el animal mantiene unido a su propio cuerpo con ayuda de los tentáculos dorsales, que están ensanchados en su extremo. 
argos	 1. m. Persona muy vigilante. 
argucia	 1. f. Sutileza, sofisma, argumento falso presentado con agudeza. 
arguellarse	 1. prnl. Ar. Desmedrarse por falta de salud o mala alimentación. 
arguello	 1. m. Ar. Acción y efecto de arguellarse. 
argullo	 1. m. desus. orgullo. U. c. vulg. 
argulloso	 1. adj. desus. orgulloso. U. c. vulg. 
argumentación	 1. f. Acción de argumentar. 2. f. argumento (‖ para convencer). 
argumentador	 1. adj. Que argumenta. U. t. c. s. 
argumentar	 1. tr. p. us. argüir (‖ sacar en claro). 2. tr. p. us. argüir (‖ descubrir, probar). 3. intr. Aducir, alegar, poner argumentos. U. t. c. tr. y menos c. prnl. 4. intr. Disputar, discutir, impugnar una opinión ajena. U. t. c. prnl. 
argumentativo	 1. adj. Propio de la argumentación o del argumento. 
argumentista	 1. com. argumentador. 2. com. Autor de argumentos para el cine, la radio o la televisión. 
argumento	 1. m. Razonamiento que se emplea para probar o demostrar una proposición, o bien para convencer a alguien de aquello que se afirma o se niega. 2. m. Asunto o materia de que se trata en una obra. 3. m. Sumario que, para dar breve noticia del asunto de la obra literaria o de cada una de las partes en que está dividida, suele ponerse al principio de ellas. 4. m. Gram. Complemento exigido por el significado de la palabra a la que modifica; p. ej., carece de razón; preparar un examen. 5. m. p. us. Indicio o señal. ~ a contráriis. 1. m. Fil. El que parte de la oposición entre dos hechos para concluir del uno lo contrario de lo que ya se sabe del otro. ~ ad hóminem. 1. m. Fil. El que se funda en las opiniones o actos de la misma persona a quien se dirige, para combatirla o tratar de convencerla. ~ a pari. 1. m. Fil. El fundado en razones de semejanza y de igualdad entre el hecho propuesto y el que de él se concluye. ~ Aquiles. 1. m. Raciocinio que se tiene por decisivo para demostrar justificadamente una tesis. ~ a símili. 1. m. Fil. argumento a pari. ~ cornuto. 1. m. Fil. dilema. ~ disyuntivo. 1. m. Fil. El que tiene por mayor una proposición disyuntiva; p. ej., el vicio debe ser castigado en esta vida o en la otra; es así que no siempre es castigado en esta, luego ha de ser castigado en la otra. ~ negativo. 1. m. Fil. El que se toma del silencio de aquellas personas de autoridad que, siendo natural que supiesen o hablasen de una cosa, por ser concerniente a la materia que tratan, la omiten. ~ ontológico. 1. m. Fil. El empleado por San Anselmo para demostrar a priori la existencia de Dios, partiendo de la idea que tenemos del Ser perfectísimo. apretar el ~. 1. loc. verb. Fil. Reforzarlo para dificultar más su solución. desatar el ~. 1. loc. verb. Fil. Darle solución. □ V. retorsión del argumento 
argumentoso	 1. adj. desus. Solícito, ingenioso. Era u. para referirse a la abeja. 
arguyente	 1. adj. desus. Que arguye. Era u. t. c. s. 
aria	 1. f. Composición musical sobre cierto número de versos para que la cante una sola voz. -aria. 1. suf. V. -ario. ario, ria. (Del sánscr. arya, noble). 1. adj. Se dice del individuo perteneciente a un pueblo de estirpe nórdica, supuestamente formado por los descendientes de los antiguos indoeuropeos. U. t. c. s. 2. adj. Perteneciente o relativo a los arios. 3. adj. p. us. indoeuropeo (‖ raza y lengua). Apl. a pers., u. t. c. s. -ario, ria. (Del lat. -arĭus). 1. suf. Forma adjetivos que indican relación con la base derivativa. Bancario, embrionario. 2. suf. Forma sustantivos que significan, entre otras cosas, profesión. Boticario, ferroviario. 3. suf. Se refiere a la persona a quien se cede algo. Concesionario. 4. suf. Señala el lugar donde se guarda lo significado por el primitivo. Campanario, relicario. 
aricado	 1. m. Acción y efecto de aricar. 
aricar	 1. tr. Arar muy superficialmente. 2. tr. arrejacar. 
aridecer	 1. tr. Hacer árido algo. U. t. c. intr. y c. prnl. MORF. conjug. c. agradecer. 
aridez	 1. f. Cualidad de árido. 
arienzo	 1. m. Cierta moneda antigua de Castilla. 
aries	 1. adj. Dicho de una persona: Nacida bajo el signo zodiacal de Aries. Yo soy aries, ella es piscis. U. t. c. s. 
arieta	 1. tr. p. us. Atacar o batir con ariete. 
arietar	 1. tr. p. us. Atacar o batir con ariete. 
arietario	 1. adj. Perteneciente o relativo al ariete (‖ máquina militar). 
ariete	 1. m. Máquina militar que se empleaba antiguamente para batir murallas, consistente en una viga larga y muy pesada, uno de cuyos extremos estaba reforzado con una pieza de hierro o bronce, labrada, por lo común, en forma de cabeza de carnero. 2. m. En el fútbol, delantero centro. 3. m. Mar. Buque de vapor, blindado y con un espolón muy reforzado y saliente, que se usaba para embestir con empuje a otras naves y echarlas a pique. ~ hidráulico. 1. m. Mec. Máquina para elevar agua utilizando el movimiento oscilatorio producido por una columna del mismo líquido. □ V. golpe de ariete 
arietino	 1. adj. Semejante a la cabeza del carnero. 
arije	□ V. uva arije 
arijo	 1. adj. Dicho de la tierra: Delgada y fácil de cultivar. 
arillo	 1. m. Aro de madera, de tres a cuatro centímetros de ancho, que sirve para armar los alzacuellos de los eclesiásticos. 2. m. arete. 
arilo	 1. m. Bot. Envoltura, casi siempre carnosa y de colores vivos, que tienen algunas semillas, como las del tejo. arilo2. (De aroma y el gr. ὕλη, materia). 1. m. Quím. Radical orgánico que resulta al eliminar de un hidrocarburo aromático un átomo de hidrógeno. 
arimaspe	 1. m. arimaspo. 
arimaspo	 1. m. Mit. Cada uno de los pobladores fabulosos de una región asiática, que tenían solamente un ojo y luchaban con los grifos para arrebatarles las riquezas de que estos eran guardadores. 
arimez	 1. m. Arq. Resalto que, como refuerzo o como adorno, suele haber en algunos edificios. 
ario	 1. adj. Se dice del individuo perteneciente a un pueblo de estirpe nórdica, supuestamente formado por los descendientes de los antiguos indoeuropeos. U. t. c. s. 2. adj. Perteneciente o relativo a los arios. 3. adj. p. us. indoeuropeo (‖ raza y lengua). Apl. a pers., u. t. c. s. -ario, ria. (Del lat. -arĭus). 1. suf. Forma adjetivos que indican relación con la base derivativa. Bancario, embrionario. 2. suf. Forma sustantivos que significan, entre otras cosas, profesión. Boticario, ferroviario. 3. suf. Se refiere a la persona a quien se cede algo. Concesionario. 4. suf. Señala el lugar donde se guarda lo significado por el primitivo. Campanario, relicario. 
aríolo	 1. m. desus. Adivino por agüeros. 
arique	 1. m. Can. Tira de la corteza del plátano que sirve para varios usos y especialmente para envolver tabaco en rama. 2. m. Cuba. Tira de yagua que se emplea para atar. 
arísaro	 1. m. Planta perenne de la familia de las Aráceas, herbácea, con hojas radicales, grandes, gruesas, acorazonadas y de color verde claro, entre las que nace un bohordo de unos 20 cm, con espata blanquecina, cerrada en la base y en forma de capucha por arriba, para envolver flores masculinas y femeninas, separadas y desprovistas de cáliz y corola. Toda la planta es viscosa, de mal olor y muy acre; pero, después de cocida, se come, sobre todo la raíz, de la que se extrae abundante fécula. 
arisblanco	 1. adj. Dicho del trigo y de la espiga: De aristas o raspas blancas. 
ariscarse	 1. prnl. Enojarse, ponerse arisco. 
arisco	 1. adj. Dicho de una persona o de un animal: Áspero, intratable. 
arismético	 1. adj. desus. aritmético. 2. f. p. us. aritmética. 
arisnegro	 1. adj. Dicho del trigo y de la espiga: De aristas o raspas negras. 
arisprieto	 1. adj. arisnegro. 
arista	 1. f. Filamento áspero del cascabillo que envuelve el grano de trigo y el de otras plantas gramíneas. 2. f. Pajilla del cáñamo o lino que queda después de agramarlos. 3. f. Borde de un sillar, madero o cualquier otro sólido, convenientemente labrado. 4. f. Intersección de dos mesas en las armas blancas. 5. f. Geom. Línea que resulta de la intersección de dos superficies, considerada por la parte exterior del ángulo que forman. 6. f. ant. espina (‖ de planta). □ V. bóveda por arista 
aristado	 1. adj. Que tiene aristas. □ V. trigo aristado 
aristarco	 1. m. Crítico entendido, pero excesivamente severo. 
aristín	 1. m. Mur. arestín (‖ excoriación de las caballerías). 2. m. Mur. arestín (‖ encendimiento de sangre). -->drae -->aristón <k>aristón</k> aristón. 1. m. Instrumento musical de manubrio. 
aristino	 1. m. Veter. arestín (‖ excoriación de las caballerías). 2. m. Veter. arestín (‖ encendimiento de sangre). 
aristocracia	 1. f. En ciertas épocas, ejercicio del poder político por una clase privilegiada, generalmente hereditaria. 2. f. Clase noble de una nación, de una provincia, etc. 3. f. Clase que sobresale entre las demás por alguna circunstancia. Aristocracia del saber, del dinero 
aristócrata	 1. com. Miembro de la aristocracia. U. t. en sent. fig. 2. com. Partidario de la aristocracia. 
aristocrático	 1. adj. Perteneciente o relativo a la aristocracia. 2. adj. Fino, distinguido. 
aristofánico	 1. adj. aristofanesco. 
aristoloquia	 1. f. Planta herbácea de la familia de las Aristoloquiáceas, con raíz fibrosa, tallos tenues y ramosos, de unos cuatro decímetros de largo, hojas acorazonadas, flores amarillas y fruto esférico y coriáceo. ~ hembra. 1. f. aristoloquia redonda. ~ larga, o ~ macho. 1. f. La de raíz fusiforme, hojas pecioladas y obtusas, flores oscuras y fruto en forma de pera. ~ redonda. 1. f. La de raíz redonda, hojas pecioladas y flores de color pardo amarillento. 
aristoloquiáceo	 1. adj. Bot. Se dice de las hierbas, de las matas o de los arbustos angiospermos dicotiledóneos, con leño no dividido en zonas, tallo nudoso, hojas alternas de pecíolos ensanchados, flores por lo común solitarias, situadas en las axilas de las hojas, frutos capsulares y raras veces abayados y semillas en gran número con albumen carnoso o casi córneo; como la aristoloquia y el ásaro. U. t. c. s. f. 2. f. pl. Bot. Familia de estas plantas. ORTOGR. Escr. con may. inicial. 
aristoso	 1. adj. Que tiene muchas aristas. 
aristotélico	 1. adj. Perteneciente o relativo a Aristóteles, filósofo griego. Sistema aristotélico. Doctrina aristotélica. 2. adj. Conforme a la doctrina de Aristóteles. 3. adj. Partidario de esta doctrina. U. t. c. s. 
aristotelismo	 1. m. Fil. Conjunto de las doctrinas de Aristóteles, filósofo griego. 2. m. Fil. Tendencia de diversas escuelas posteriores cuyo punto de partida es el pensamiento aristotélico. 
aritmético	 1. adj. Perteneciente o relativo a la aritmética. 2. m. y f. Persona que profesa la aritmética o en ella tiene especiales conocimientos. 3. f. Parte de las matemáticas que estudia los números y las operaciones hechas con ellos. □ V. cálculo aritmético media aritmética progresión aritmética razón aritmética 
aritmómetro	 1. m. desus. Instrumento que sirve para ejecutar mecánicamente las operaciones aritméticas. 
arjorán	 1. m. ciclamor. 
arlar	 1. tr. Poner las frutas en arlos (‖ colgajos). 
arlequín	 1. m. Persona cuyo vestido en un espectáculo o fiesta remeda el de Arlequín, personaje de la comedia del arte, que llevaba mascarilla negra y traje de cuadros o losanges de distintos colores. 2. m. Gracioso o bufón de algunas compañías de volatines. 3. m. Cada uno de los dos bastidores verticales que, en cada lateral, definen con el bambalinón la embocadura del escenario en los teatros. 4. m. coloq. Persona informal y ridícula. 5. m. coloq. Sorbete de dos o más sustancias y colores. 6. m. desus. Tejido de hilo o lana y de colores variados. 
arlequinada	 1. f. Acción o ademán ridículo, como los de los arlequines. 
arlequinesco	 1. adj. Perteneciente o relativo al arlequín. 2. adj. Propio del arlequín. 
arlo	 1. m. agracejo (‖ arbusto berberidáceo). 2. m. colgajo (‖ de frutas). 
arlota	 1. f. alrota. 
arlote	 1. adj. vulg. Ál. Descuidado, desaseado en el vestido y porte. U. t. c. s. 2. adj. ant. Holgazán, bribón. 
arlotería	 1. f. ant. Holgazanería, bribonería. 2. f. ant. Malicia, picardía. 
arma	 1. f. Instrumento, medio o máquina destinados a atacar o a defenderse. 2. f. Mil. Cada uno de los institutos combatientes de una fuerza militar. El arma de infantería, de caballería, de artillería 3. f. p. us. Rebato o acometimiento repentino. 4. f. pl. Conjunto de las armas que lleva un guerrero o una unidad de guerra. 5. f. pl. Tropas o ejércitos de un Estado. Las armas de España, las armas de los países aliados 6. f. pl. Defensas naturales de los animales. 7. f. pl. Piezas con que se arman algunos instrumentos, como la sierra, la brújula, etc. 8. f. pl. Milicia o profesión militar. 9. f. pl. Hechos de armas, hazañas guerreras. 10. f. pl. Medios que sirven para conseguir algo. Yo no tengo más armas que la verdad y la justicia 11. f. pl. Heráld. Blasones del escudo. 12. f. pl. Heráld. escudo de armas. ~ acorazada. 1. f. Conjunto de las unidades acorazadas de un ejército de tierra. ~ aérea. 1. f. Conjunto de la Aviación militar y naval. ~ antiaérea. 1. f. La destinada a combatir aeronaves. ~ arrojadiza. 1. f. La que se lanza con la mano. ~ atómica. 1. f. arma nuclear. ~ automática. 1. f. La de fuego en la cual el ciclo completo de cargar, amartillar, disparar y extraer es completamente mecánico. ~ blanca. 1. f. La ofensiva de hoja de hierro o de acero, como la espada. ~ de chispa. 1. f. La de fuego cuyo cebo se inflama con las chispas que da el rastrillo herido por el pedernal. ~ de doble filo, o ~ de dos filos. 1. f. La blanca que tiene filo por ambos bordes de la hoja. 2. f. Cosa o acción que puede obrar en contra de lo que se pretende. ~ defensiva. 1. f. arma blanca o de fuego de escaso alcance que se emplea sobre todo para la propia defensa. ~ de fuego. 1. f. Aquella en que el disparo se verifica mediante la pólvora u otro explosivo. ~ de mano. 1. f. La que se lleva oculta o la que forma parte de un equipo individual. ~ de percusión. 1. f. La de fuego cebada con mixto fulminante, cuya explosión se produce por golpe. ~ de precisión. 1. f. La de fuego construida de modo que su tiro es más certero que el de las ordinarias. ~ de puño. 1. f. La que consiste en una hoja de hierro y acero con punta y corte y un mango proporcionado para empuñarlo con una sola mano. ~ falsa. 1. f. p. us. Acometimiento o ataque fingido para probar la gente o para deslumbrar al enemigo. ~ ligera. 1. f. La blanca corta, la de fuego manejable con una sola mano y todas las transportables sin auxilio de tracción animal o de motor. ~ mecanizada. 1. f. La que dispara desde el propio vehículo que la desplaza. ~ motorizada. 1. f. La que se desplaza con auxilio de camión o tractor. ~ naval. 1. f. La que se encuentra en dotación en buques de guerra. ~ negra. 1. f. Espada, florete u otra arma semejante de hierro ordinario, sin filo y con un botón en la punta, con que se aprende la esgrima en las escuelas. ~ nuclear. 1. f. La que produce una explosión nuclear. 2. f. La que utiliza proyectiles de explosión nuclear. ~ ofensiva. 1. f. La que sirve para ofender. ~ pesada. 1. f. La de fuego, que exige ganado o empleo de motores para su transporte. ~ semiautomática. 1. f. La de fuego en la que todas las operaciones son automáticas con excepción del disparo que ha de accionarse por el agente. ~s blancas. 1. f. pl. Heráld. Las que en lo antiguo llevaba el caballero novel, sin empresa en el escudo hasta que por su esfuerzo la ganase. ~s falsas. 1. f. pl. Heráld. Las formadas contra las reglas del arte. ~s parlantes. 1. f. pl. Heráld. Las que representan un objeto de nombre igual o parecido al de la persona o Estado que las usa, como las de León, Castilla, Granada, etc. al ~, o a las ~s. 1. locs. interjs. U. para prevenir a los soldados que tomen prontamente las armas. alzarse en ~s. 1. loc. verb. Alzarse en sedición, sublevarse. arma, arma. 1. loc. interj. al arma. con las ~s en la mano. 1. loc. adv. Estando armado y dispuesto para hacer la guerra. dar ~ el centinela. 1. loc. verb. ant. Hacer señales para que acudan los soldados que están de guardia. de ~s tomar. 1. loc. adj. Dicho de una persona: de cuidado. 2. loc. adj. Dicho de una persona: Que muestra bríos y resolución para acometer empresas arriesgadas. dejar las ~s. 1. loc. verb. Retirarse del servicio militar. descansar las ~s, o sobre las ~s, los soldados. 1. locs. verbs. Mil. Aliviarse del peso de ellas apoyándolas en el suelo. entregar las ~s. 1. loc. verb. rendir las armas. estar un pueblo o gente en ~, o en ~s. 1. locs. verbs. Estar alterado con guerras civiles. hacer ~s. 1. loc. verb. Pelear con armas, hacer guerra. 2. loc. verb. Amenazar arma en mano. 3. loc. verb. Pelear cuerpo a cuerpo con otro en sitio público. hacerse a las ~s. 1. loc. verb. Acostumbrarse y acomodarse a algo a que obliga la necesidad. llegar a las ~s. 1. loc. verb. Llegar a reñir o pelear. medir las ~s. 1. loc. verb. Reñir o pelear. meter en ~s. 1. loc. verb. ant. poner en armas. pasar a alguien por las ~s. 1. loc. verb. Mil. Fusilarlo. poner en ~. 1. loc. verb. Dar alarma. poner, o ponerse, en ~s. 1. locs. verbs. Armar o apercibir para combatir. 2. locs. verbs. Alterar a un pueblo o gente con guerras civiles. ponerse en ~. 1. loc. verb. coloq. Apercibirse o disponerse para ejecutar algo. presentar ~s la tropa. 1. loc. verb. Mil. Rendir honores militares con las armas a los reyes y demás personas a quienes por la ordenanza corresponden. probar las ~s. 1. loc. verb. Poner a prueba la capacidad de las personas en cualquier materia o para cualquier cosa. 2. loc. verb. Esgr. Tentar y reconocer la habilidad y fuerzas de quienes las manejan. publicar ~s. 1. loc. verb. Desafiar a combate público. rendir ~s. 1. loc. verb. Mil. Hacer los honores a la eucaristía, hincando la rodilla derecha e inclinando las armas y el cuerpo. rendir las ~s la tropa. 1. loc. verb. Mil. Entregar sus armas al enemigo, reconociéndose vencida. sobre las ~s. 1. loc. adj. Mil. Dicho de la tropa: En su puesto y preparada para el combate. La guarnición ha de estar sobre las armas tocar al ~, o tocar ~. 1. locs. verbs. Mil. Tañer o tocar los instrumentos militares para advertir a los soldados que tomen las armas. tomar ~s, o las ~s. 1. locs. verbs. armarse. 2. locs. verbs. Mil. desus. Hacer los honores militares que corresponden al rey, a las personas reales, a las autoridades y a los generales y demás oficiales, según su grado. tomar alguien las ~s contra otra persona. 1. loc. verb. Declararse su contrario y hacerle guerra como a enemigo. velar las ~s el que había de ser armado caballero. 1. loc. verb. Guardarlas, haciendo centinela por la noche cerca de ellas, sin perderlas de vista. vestir las ~s. 1. loc. verb. Ponérselas el que iba a entrar en la pelea o armarse con ellas. y ~s al hombro. 1. expr. U. para dar a entender que alguien se desentiende de algo. □ V. cámara de las armas fiesta de armas hacha de armas hecho de armas hombre de armas maestro de armas paje de armas plaza de armas rey de armas suspensión de armas trance de armas ujier de armas 
armada	 1. f. Conjunto de fuerzas navales de un Estado. ORTOGR. Escr. con may. inicial. 2. f. escuadra (‖ conjunto de buques de guerra). 3. f. Cineg. Línea de cazadores que acechan a las reses espantadas o forzadas en la batida. 4. f. Cineg. Manga de gente con perros que se pone en las batidas para espantar a las reses, obligándolas a salir frente a las paranzas de los cazadores. 5. f. Am. Mer. Forma en que se dispone el lazo para lanzarlo. 6. f. germ. Flor que el fullero lleva hecha en los naipes. □ V. capellán del Ejército y de la Armada fuerzas armadas armado, da. (Del part. de armar). 1. adj. Provisto de armas. 2. adj. Provisto de un instrumento o utensilio. El jardinero apareció armado con la podadera 3. adj. Que se desarrolla con la utilización de las armas. Insurrección armada 4. adj. Dicho del cemento o del hormigón: Reforzado con barras metálicas. 5. m. Arg., Bol. y Par. Pez de agua dulce, de hasta 70 cm de longitud, con aletas dorsal y pectorales muy robustas, cuerpo oscuro desprovisto de escamas y carne comestible. 6. m. desus. Hombre vestido como los antiguos soldados romanos, que suele acompañar los pasos de las procesiones y dar guardia a los monumentos de Semana Santa. □ V. brazo armado gallina armada rabo de armado 
armadera	 1. f. Mar. cuaderna de armar. 
armadija	 1. f. desus. armadijo. 
armadijo	 1. m. trampa (‖ para cazar animales). 2. m. Armazón de palos. 
armadilla	 1. f. germ. Dinero que alguien da a otra persona para que juegue por él. 
armadillo	 1. m. Mamífero del orden de los Desdentados, con algunos dientes laterales. El cuerpo, que mide de tres a cinco decímetros de longitud, está protegido por un caparazón formado de placas óseas cubiertas por escamas córneas, las cuales son movibles, de modo que el animal puede arrollarse sobre sí mismo. Todas las especies son propias de América Meridional. 
armado	 1. adj. Provisto de armas. 2. adj. Provisto de un instrumento o utensilio. El jardinero apareció armado con la podadera 3. adj. Que se desarrolla con la utilización de las armas. Insurrección armada 4. adj. Dicho del cemento o del hormigón: Reforzado con barras metálicas. 5. m. Arg., Bol. y Par. Pez de agua dulce, de hasta 70 cm de longitud, con aletas dorsal y pectorales muy robustas, cuerpo oscuro desprovisto de escamas y carne comestible. 6. m. desus. Hombre vestido como los antiguos soldados romanos, que suele acompañar los pasos de las procesiones y dar guardia a los monumentos de Semana Santa. □ V. brazo armado gallina armada rabo de armado 
armador	 1. m. y f. Persona que arma un mueble o un artefacto. 2. m. Persona o empresa que arma o dota un barco para su explotación comercial. 3. m. corsario (‖ capitán de un buque). 4. m. jubón (‖ vestidura). 
